name,lat,lon,density,tax1,tax2,poor,work1,work2,work3,population,murder,burglar,rape,theft,violance,fire,drug,kidnap,gambling,vio_rape,rape2,assault
제기동,37.58556114,127.0420269,24196,22126,4783,1074,113,1534,552,28043,5,5,2,5,3,3,1,2,2,109.58,111.95,107.12
청량리동,37.58410754,127.0452731,19633,15172,2833,1250,109,476,353,23246,2,1,5,5,5,5,4,1,4,105.81,109.1,103.32
전농1동,37.57928855,127.0464928,25437,19320,3559,1410,205,830,497,30215,1,4,1,3,2,4,1,1,1,112.27,110.68,111.98
회기동,37.59108572,127.051849,16562,8460,1293,209,49,534,397,12421,3,1,1,1,1,1,1,1,1,121.35,140.81,108
휘경2동,37.58467325,127.0680257,24254,13828,2107,405,10,72,122,25380,1,2,4,3,2,2,2,1,1,101.47,106.46,98.28
사당3동,37.48411651,126.9732532,24766,14987,2932,237,61,160,128,24480,3,1,4,2,3,2,3,3,3,186.28,110.4,218.43
대방동,37.51114892,126.9332989,26230,25565,4428,1072,94,421,261,40777,3,2,5,5,5,3,2,1,1,94.95,90.35,98.14
신대방2동,37.49856662,126.9205764,20836,32024,3260,327,71,348,281,20907,2,1,1,1,1,1,1,1,1,109.58,100.08,113.68
사당1동,37.48053895,126.9795316,30330,18932,2747,366,129,741,394,24009,3,4,5,3,2,4,5,1,3,165.38,105.07,192.26
상도2동,37.5059319,126.9362034,28385,18604,3359,378,91,367,226,27628,4,2,3,3,4,5,4,3,4,94.69,91.85,97.01
신대방1동,37.48664457,126.9059488,45063,18781,3202,302,96,353,168,27394,4,3,2,4,3,4,5,2,5,91.82,89.88,93.71
흑석동,37.51240204,126.9536392,20902,26247,4141,575,111,551,398,35100,1,1,2,2,2,3,2,1,2,96.35,98.85,95.59
아현동,37.55082808,126.9540182,34539,33488,5838,472,71,337,282,25714,1,1,1,1,1,1,1,1,1,101.33,94.02,105.51
공덕동,37.54399444,126.9528366,39312,54957,6060,783,175,809,443,40827,3,2,2,3,4,4,4,2,5,97.07,93.78,99.5
망원2동,37.5543397,126.9027357,30588,7955,1547,383,60,216,196,20303,3,2,2,3,3,2,4,1,4,90.96,91.1,91.82
상암동,37.5782805,126.8938427,4025,82069,7480,588,79,978,562,33552,1,2,2,2,2,2,3,1,1,93.44,92.45,94.5
서강동,37.54734884,126.9293105,18181,25359,4788,215,96,739,469,26237,4,4,4,4,4,2,5,2,4,98.21,96.76,99.59
연남동,37.56033417,126.9237615,28603,11377,1660,210,71,667,383,18150,2,3,2,3,2,3,2,1,2,96.93,96.17,97.92
용강동,37.54256296,126.9430836,26827,30596,5093,231,93,453,405,22443,4,4,3,4,4,5,3,2,4,95.23,90.62,98.48
성산2동,37.56873187,126.909083,19420,17606,3866,1590,80,323,225,40500,3,2,2,3,3,4,2,1,3,89.9,88.08,91.93
서교동,37.55187571,126.9134627,16847,85660,11405,279,421,3515,2669,26870,5,5,5,5,5,5,5,3,5,180.9,137.6,196.14
충현동,37.5648089,126.9668045,17154,37644,3870,408,60,576,415,18819,1,1,1,1,1,1,1,1,1,103.86,97.69,107.12
남가좌2동,37.5760405,126.9240398,30570,13151,2242,724,59,289,286,23297,4,1,3,4,4,5,3,1,4,99.04,99.11,98.94
북가좌2동,37.58299207,126.9128818,41433,10309,2099,843,67,234,249,34915,3,2,3,3,3,5,3,2,4,95.63,93.87,96.86
신촌동,37.55855384,126.9430081,8775,40954,7327,496,275,2140,1536,23477,1,2,5,5,5,4,5,2,2,232.29,225.16,220.03
연희동,37.57027587,126.9328477,13584,31520,4258,611,123,685,444,40938,1,3,3,4,3,3,3,2,3,93.67,92.33,95.39
천연동,37.56988491,126.9611107,20531,10509,2216,535,57,295,178,19350,5,4,4,4,4,5,4,1,5,100.49,91.55,105.44
홍은 1동,37.59524753,126.9464224,15092,10576,1591,603,84,391,139,23486,1,3,2,3,4,4,2,1,4,89.86,87.57,92.36
홍은 2동,37.58360524,126.9362096,14857,14355,2368,784,40,253,216,30243,1,3,2,2,2,2,2,1,2,97.61,93.2,100.22
홍제1동,37.58817208,126.9445525,20311,11104,2230,462,111,519,172,24808,2,2,3,3,3,4,3,2,2,90.11,85,94.38
