name,lat,lon,density,tax1,tax2,poor,work1,work2,work3,population,murder,burglar,rape,theft,violance,fire,drug,kidnap,gambling
도봉2동,37.68399279,127.049279,35210,11644,2429,745,81,346,218,29427,1,2,2,1,1,2,2,1,2
방학1동,37.66450271,127.0400176,45465,10582,2224,1141,129,774,488,30900,1,3,4,4,4,4,5,1,5
쌍문1동,37.6475142,127.0255815,18190,7319,1131,872,51,270,128,22294,1,3,5,3,3,3,2,1,1
방학3동,37.65850943,127.0271855,11533,3430,697,285,38,161,88,29978,2,1,1,2,3,5,3,2,2
창2동,37.64351873,127.0346175,29413,13422,3430,889,89,326,150,31781,2,2,2,3,3,5,1,1,4
쌍문2동,37.65759465,127.0380012,39081,6418,1340,798,93,316,175,20781,5,2,2,2,2,4,3,1,3
창4동,37.65228805,127.0517148,30598,14676,881,275,62,412,204,28955,4,2,5,5,5,4,4,3,4
답십리 1동,37.57129304,127.0510656,31451,18802,3372,630,139,537,251,25094,2,3,4,3,3,3,5,1,3
용신동,37.57284432,127.037211,20798,61124,7421,1164,168,1114,729,33160,2,4,3,5,4,5,4,1,5
이문2동,37.59648341,127.0681134,32887,8519,1160,731,12,95,117,22492,2,3,4,4,2,4,3,3,2
장안1동,37.57234374,127.0685668,31050,49629,5632,903,313,1491,546,39541,4,3,5,4,4,3,5,2,5
장안2동,37.57679472,127.0744033,28845,23530,4659,721,44,239,533,31407,4,3,3,2,3,2,5,1,4
전농1동,37.58637427,127.0542279,25437,19320,3559,1410,17,830,497,30215,1,2,1,1,2,1,2,1,3
제기동,37.58556114,127.0420269,24196,22126,4783,1074,113,1534,552,28043,5,5,2,5,3,3,1,2,2
청량리동,37.58410754,127.0452731,19633,15172,2833,1250,109,476,353,23246,2,1,5,5,5,5,4,1,4
전농1동,37.57928855,127.0464928,25437,19320,3559,1410,205,830,497,30215,1,4,1,3,2,4,1,1,1
회기동,37.59108572,127.051849,16562,8460,1293,209,49,534,397,12421,3,1,1,1,1,1,1,1,1
휘경2동,37.58467325,127.0680257,24254,13828,2107,405,10,72,122,25380,1,2,4,3,2,2,2,1,1
사당3동,37.48411651,126.9732532,24766,14987,2932,237,61,160,128,24480,3,1,4,2,3,2,3,3,3
대방동,37.51114892,126.9332989,26230,25565,4428,1072,94,421,261,40777,3,2,5,5,5,3,2,1,1
신대방2동,37.49856662,126.9205764,20836,32024,3260,327,71,348,281,20907,2,1,1,1,1,1,1,1,1
사당1동,37.48053895,126.9795316,30330,18932,2747,366,129,741,394,24009,3,4,5,3,2,4,5,1,3
상도2동,37.5059319,126.9362034,28385,18604,3359,378,91,367,226,27628,4,2,3,3,4,5,4,3,4
신대방1동,37.48664457,126.9059488,45063,18781,3202,302,96,353,168,27394,4,3,2,4,3,4,5,2,5
흑석동,37.51240204,126.9536392,20902,26247,4141,575,111,551,398,35100,1,1,2,2,2,3,2,1,2
아현동,37.55082808,126.9540182,34539,33488,5838,472,71,337,282,25714,1,1,1,1,1,1,1,1,1
공덕동,37.54399444,126.9528366,39312,54957,6060,783,175,809,443,40827,3,2,2,3,4,4,4,2,5
망원2동,37.5543397,126.9027357,30588,7955,1547,383,60,216,196,20303,3,2,2,3,3,2,4,1,4
상암동,37.5782805,126.8938427,4025,82069,7480,588,79,978,562,33552,1,2,2,2,2,2,3,1,1
서강동,37.54734884,126.9293105,18181,25359,4788,215,96,739,469,26237,4,4,4,4,4,2,5,2,4
연남동,37.56033417,126.9237615,28603,11377,1660,210,71,667,383,18150,2,3,2,3,2,3,2,1,2
용강동,37.54256296,126.9430836,26827,30596,5093,231,93,453,405,22443,4,4,3,4,4,5,3,2,4
성산2동,37.56873187,126.909083,19420,17606,3866,1590,80,323,225,40500,3,2,2,3,3,4,2,1,3
서교동,37.55187571,126.9134627,16847,85660,11405,279,421,3515,2669,26870,5,5,5,5,5,5,5,3,5
충현동,37.5648089,126.9668045,17154,37644,3870,408,60,576,415,18819,1,1,1,1,1,1,1,1,1
남가좌2동,37.5760405,126.9240398,30570,13151,2242,724,59,289,286,23297,4,1,3,4,4,5,3,1,4
북가좌2동,37.58299207,126.9128818,41433,10309,2099,843,67,234,249,34915,3,2,3,3,3,5,3,2,4
신촌동,37.55855384,126.9430081,8775,40954,7327,496,275,2140,1536,23477,1,2,5,5,5,4,5,2,2
연희동,37.57027587,126.9328477,13584,31520,4258,611,123,685,444,40938,1,3,3,4,3,3,3,2,3
천연동,37.56988491,126.9611107,20531,10509,2216,535,57,295,178,19350,5,4,4,4,4,5,4,1,5
홍은 1동,37.59524753,126.9464224,15092,10576,1591,603,84,391,139,23486,1,3,2,3,4,4,2,1,4
홍은 2동,37.58360524,126.9362096,14857,14355,2368,784,40,253,216,30243,1,3,2,2,2,2,2,1,2
홍제1동,37.58817208,126.9445525,20311,11104,2230,462,111,519,172,24808,2,2,3,3,3,4,3,2,2
방배2동,37.47952304,126.9821639,14370,37309,4968,339,102,602,341,27387,3,3,3,3,3,4,1,1,4
방배1동,37.48453396,126.9968522,24574,37447,5051,176,93,492,270,17223,1,2,4,1,1,1,3,1,2
반포2동,37.50211081,126.9969691,17401,52405,11968,13,42,142,44,24551,1,1,1,2,2,2,2,1,1
방배본동,37.49414903,126.9888457,12833,42676,9189,162,115,499,307,21763,2,4,2,4,4,3,2,2,3
내곡동,37.46182487,127.0506972,1497,23757,2105,621,14,168,57,19019,2,1,2,2,1,1,1,1,1
반포4동,37.50596343,127.0051844,14378,58473,10047,56,85,1039,533,20486,4,5,5,5,5,4,5,2,5
서초1동,37.48528606,127.0167385,15062,84958,13155,226,140,1385,488,21785,3,3,4,3,3,2,4,2,2
서초2동,37.49231534,127.0281926,17128,134639,19022,76,175,1042,537,16966,5,5,5,5,5,3,4,1,1
서초3동,37.49197583,127.0107921,10281,114107,21350,192,208,1815,1062,30361,4,2,4,3,4,4,3,2,3
양재1동,37.48454595,127.0378546,8289,60791,8880,1537,144,1323,546,47533,3,4,3,4,4,2,2,2,4
양재2동,37.45610783,127.0160086,3139,78158,9054,368,143,1522,629,23863,1,2,1,1,2,2,1,1,1
금호동2가,37.55473853,127.0196195,39122,17159,2558,543,92,295,191,24755,2,1,1,1,1,3,1,1,1
성수동2가,37.53805651,127.0522739,16422,22535,3768,537,97,762,335,18940,3,2,2,3,4,1,1,3,3
성수2가3동,37.54822203,127.0552459,11788,49447,6587,154,54,487,409,12049,2,4,4,4,5,4,4,3,4
옥수동,37.54383721,127.0143482,12741,23487,3949,323,67,221,123,27343,2,3,2,2,2,1,2,1,2
왕십리2동,37.56666845,127.0326577,41261,8048,1751,363,48,114,87,17801,2,3,4,2,3,3,5,1,3
용답동,37.56478034,127.0517584,7353,13990,2192,742,79,356,252,16840,2,1,3,2,3,3,4,1,5
응봉동,37.54979888,127.0300204,29686,8556,1803,189,28,66,37,16693,2,2,1,1,1,2,1,1,2
